Date,Open,High,Low,Close,Adj Close,Volume
10/5/2017,77.900002,78.639999,76.489998,77.269997,71.754723,4923400
10/6/2017,76.370003,77.230003,76.269997,77.230003,71.717575,4672400
10/9/2017,77.269997,77.440002,76.769997,77.129997,71.624718,2925600
10/10/2017,77.550003,77.610001,77,77.370003,71.847588,2659600
10/11/2017,77.529999,77.919998,77.089996,77.919998,72.358307,2277500
10/12/2017,77.400002,78.050003,77.099998,77.910004,72.349037,2532500
10/13/2017,78.150002,78.309998,77.669998,78.080002,72.506905,2161700
10/16/2017,77.650002,77.830002,77.230003,77.419998,71.894012,2405400
10/17/2017,77.589996,77.860001,77.269997,77.620003,72.079735,2358400
10/18/2017,77.599998,77.919998,76.980003,77.620003,72.079735,2399600
10/19/2017,77.209999,77.889999,76.629997,77.629997,72.08902,2329900
10/20/2017,78.440002,78.440002,77.389999,77.540001,72.005455,4149900
10/23/2017,77.849998,77.900002,77.370003,77.400002,71.875435,4820100
10/24/2017,77.400002,78.099998,77.150002,77.690002,72.144745,3241700
10/25/2017,77.699997,77.870003,76.949997,77.68,72.135445,4901200
10/26/2017,77.379997,77.660004,75.839996,76.290001,70.844666,5371300
10/27/2017,76.129997,77.82,75.949997,77.75,72.200462,6118600
10/30/2017,77.720001,78.580002,77.720001,78.400002,72.804054,4427100
10/31/2017,78.300003,79.139999,77.779999,78.889999,73.259087,3231000
11/1/2017,79.32,80.93,79.07,80.709999,74.949173,4097800
11/2/2017,80.739998,82.190002,80.739998,81.589996,75.766365,4972900
11/3/2017,81.199997,81.75,80.629997,80.879997,75.10704,3390500
11/6/2017,80.900002,81.790001,80.269997,81.449997,75.63636,3326200
11/7/2017,81.529999,81.879997,81.309998,81.830002,75.989243,2603300
11/8/2017,81.610001,81.690002,80.629997,81.669998,75.840652,2976100
11/9/2017,81,81.339996,80.029999,81.279999,75.478493,3569700
11/10/2017,80.959999,81.449997,80.709999,81.370003,75.562065,2473900
11/13/2017,81.239998,81.519997,80.610001,80.669998,74.912041,2568500
11/14/2017,80.550003,81.589996,80.489998,81.370003,75.562065,3108700
11/15/2017,80.889999,81.690002,80,81.480003,75.664223,3122000
11/16/2017,81.309998,82.610001,81.209999,82.120003,76.258537,4322600
11/17/2017,81.849998,82.919998,81.75,82.879997,76.964287,2897400
11/20/2017,82.260002,82.260002,81.480003,82.089996,76.879997,3163600
11/21/2017,82.239998,84,82.150002,83.800003,78.481468,3528000
11/22/2017,83.910004,83.910004,82.309998,82.349998,77.123497,3271500
11/24/2017,82.68,82.849998,82.059998,82.25,77.029846,1623400
11/27/2017,82.220001,82.349998,81.589996,82.120003,76.908104,3073500
11/28/2017,82.330002,83.470001,81.839996,83.239998,77.957024,3015300
11/29/2017,83.190002,83.650002,82.5,83.339996,78.050659,2752900
11/30/2017,83.830002,85.860001,83.360001,85.620003,80.185966,5521800
12/1/2017,85.370003,85.779999,82.519997,84.169998,78.827995,4123200
12/4/2017,84.559998,85.43,83.5,83.629997,78.322266,4049400
12/5/2017,83.910004,86.419998,83.910004,85.779999,80.335815,4197300
12/6/2017,85.480003,85.970001,84.57,84.970001,79.577209,2975900
12/7/2017,84.790001,85.68,84.650002,85.589996,80.157867,2128800
12/8/2017,86.269997,87.730003,85.959999,87.599998,82.040306,3533300
12/11/2017,87.169998,88.120003,86.870003,87.199997,81.665688,2853800
